Id,Label,Partido
0,AlejandroCavero,avanza_pais
1,Alm_Montoya,renovacion_popular
2,adrianatudelag,avanza_pais
3,FlorPabloMedina,partido_morado
4,rosangelak8,fuerza_popular
5,RoberthoSanchez,juntos_peru
6,NanoGuerra4,fuerza_popular
7,marthamoyano,fuerza_popular
8,RosselliAmuruz,avanza_pais
9,EsdrasMinaya,renovacion_popular
10,alfredoazurin15,somos_peru
11,JoseCuetoAservi,renovacion_popular
12,1DianaGonzales,avanza_pais
13,AMunante11,renovacion_popular
14,robertochiabra,alianza_progreso
15,ErnesBustamante,fuerza_popular
16,suselparedes,partido_morado
17,A_Aguinaga,fuerza_popular
18,chabelita2020,juntos_peru
19,LizarzaburuJuan,fuerza_popular
20,MartinVizcarraC,somos_peru
21,sigridbazan,juntos_peru
22,EdMalagaTrillo,partido_morado
23,ruthlib_,juntos_peru
24,patty_juarez_,fuerza_popular
25,NormaYarrow4,renovacion_popular
